 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
23:58 |     1 |     3.000e-04 | 4700819.7217 |      27561.3722 |   335.5858 |        102.6727 |            9943
24:13 |     2 |     3.000e-04 | 21328.0707 |      16307.9343 |   264.4640 |         78.3695 |           10189
24:28 |     3 |     3.000e-04 | 13461.2539 |      10821.0662 |   207.4230 |         65.1744 |           10189
24:43 |     4 |     3.000e-04 |  9308.2087 |       8206.1447 |   181.7668 |         56.0191 |           10189
24:59 |     5 |     3.000e-04 |  6916.3832 |       6198.7048 |   160.9883 |         49.1548 |           10189
25:13 |     6 |     3.000e-04 |  5356.2587 |       4732.0924 |   119.1429 |         44.0121 |           10189
25:29 |     7 |     3.000e-04 |  4410.2750 |       4124.4729 |   126.5334 |         40.0828 |           10190
25:44 |     8 |     3.000e-04 |  3648.0762 |       3378.6514 |   102.8295 |         36.9568 |           10190
25:59 |     9 |     3.000e-04 |  3135.7732 |       2956.8040 |    93.8413 |         34.4762 |           10190
26:14 |    10 |     3.000e-04 |  2794.7913 |       2653.3425 |    86.5830 |         32.4501 |           10190
26:29 |    11 |     3.000e-04 |  2585.8333 |       2418.2222 |    86.3857 |         30.6466 |           10190
26:44 |    12 |     3.000e-04 |  2394.3905 |       2368.8556 |   103.1266 |         29.2221 |           10190
26:59 |    13 |     3.000e-04 |  2158.6809 |       2286.0243 |   108.5175 |         27.9172 |           10190
27:14 |    14 |     3.000e-04 |  1967.3256 |       1934.3558 |    73.9542 |         26.9069 |           10190
27:29 |    15 |     3.000e-04 |  1967.1554 |       2531.5864 |   122.5948 |         26.1086 |           10190
27:44 |    16 |     3.000e-04 |  1850.5775 |       1736.7068 |    82.3495 |         25.1979 |           10190
27:59 |    17 |     3.000e-04 |  1620.7845 |       1563.1382 |    71.9868 |         24.3332 |           10190
28:14 |    18 |     3.000e-04 |  1595.1311 |       1470.1820 |    69.3106 |         23.6480 |           10190
28:29 |    19 |     3.000e-04 |  1617.7044 |       1396.7236 |    65.3102 |         23.0173 |           10190
28:43 |    20 |     3.000e-04 |  1535.9908 |       1879.4749 |   110.6440 |         22.4692 |           10190
28:58 |    21 |     3.000e-04 |  1490.2352 |       1386.2834 |    81.9349 |         21.8073 |           10190
29:14 |    22 |     3.000e-04 |  1289.3121 |       1484.8020 |    88.7691 |         21.3254 |           10190
29:29 |    23 |     3.000e-04 |  1309.7618 |       1444.3743 |    96.0266 |         20.7182 |           10190
29:43 |    24 |     3.000e-04 |  1236.1031 |       2006.3030 |   138.8860 |         20.2374 |           10190
29:58 |    25 |     3.000e-04 |  1209.8915 |       1321.2382 |    90.6491 |         19.7848 |           10190
30:13 |    26 |     3.000e-04 |  1419.9127 |       1560.7760 |   101.3002 |         19.4658 |           10190
30:28 |    27 |     3.000e-04 |  1233.8786 |        962.0359 |    56.6162 |         18.9606 |           10190
30:43 |    28 |     3.000e-04 |  1691.9570 |       2187.2710 |   160.4055 |         18.4781 |           10190
30:58 |    29 |     3.000e-04 |  1216.6564 |       1097.9581 |    70.7701 |         18.1273 |           10190
31:13 |    30 |     3.000e-04 |  1024.9133 |        941.9786 |    66.8261 |         17.7073 |           10190
31:28 |    31 |     3.000e-04 |  1320.6162 |        844.6302 |    55.4166 |         17.4468 |           10190
31:43 |    32 |     3.000e-04 |  1235.9896 |       1177.5313 |    86.8783 |         17.2105 |           10190
31:58 |    33 |     3.000e-04 |  1501.6497 |       4777.1707 |   262.7488 |         17.0312 |           10190
32:13 |    34 |     3.000e-04 |  4770.7739 |       5303.3151 |   268.1801 |         16.6482 |           10190
32:28 |    35 |     3.000e-04 |  1900.8560 |       1924.6473 |   148.8808 |         16.3953 |           10190
32:43 |    36 |     3.000e-04 |  2125.4407 |       1988.2916 |   156.0029 |         15.6499 |           10190
