Time,Learning rate,Train loss,Validation loss,MAE_energy,MAE_energy_grad
45.21175575256348,0.0003,304695.3953227281,3704.5788760577693,156.40068421576433,28.576141798448234
90.03135919570923,0.0003,2363.574813537042,1724.6386883997516,92.70596884952229,19.827789993484956
134.86986112594604,0.0003,1419.1813751387465,1192.193987231694,79.93070682598527,16.420613573995105
179.70963644981384,0.0003,1066.889260036003,936.1101213669839,67.90517515923567,14.632997339690437
224.49491477012634,0.0003,873.8353456479821,779.9020102849082,65.30266066630175,13.537598280916844
269.2390968799591,0.0003,757.3288924865167,951.1986610555389,91.9473831857086,12.490540415482114
313.99499225616455,0.0003,646.6023405259207,623.4178769847053,61.440679115246816,11.772162408443892
358.8051702976227,0.0003,555.8884471900259,533.4980317470729,49.669958029583,11.146773048201453
403.6394741535187,0.0003,515.067111267201,473.1290191961278,48.95093333250398,10.606771943852168
448.4779076576233,0.0003,484.6272114071038,435.7928874652269,45.98981964694467,10.226759709636342
493.25189542770386,0.0003,465.7654251849065,424.59132368841944,50.24240987012341,9.914783581472598
538.1512894630432,0.0003,410.1401412991661,497.27177609441634,56.078529775826034,9.54053467780147
582.8950459957123,0.0003,397.73843092510174,404.0036352356868,50.56861393436505,9.390965034697544
627.7799246311188,0.0003,362.86713778247383,364.55010555423684,43.74522261892914,9.159053288863223
672.60338306427,0.0003,345.6339262415151,330.9687736187691,42.510498902144704,8.798937850430388
717.3455305099487,0.0003,458.61154908560667,320.12753279124973,41.026726323024484,8.609538199997038
763.0478644371033,0.0003,333.5604129867693,293.6920675017884,38.12376887813495,8.531714351111505
807.909511089325,0.0003,312.7366581150743,303.32917369489167,40.948380585688696,8.192984081329463
852.6808400154114,0.0003,340.2192552576951,423.16798701427524,64.90389738629578,8.079225447045527
897.4471817016602,0.0003,351.1912042669911,261.9916762232018,35.601781371292795,7.883433727320738
942.2313439846039,0.0003,276.34429599782806,310.99568667543974,46.32632084743233,7.7762716983041145
986.9800353050232,0.0003,327.05862683572406,247.6138338581981,37.40517982434315,7.637824564553226
1031.7949495315552,0.0003,280.7873902256589,664.6248879561688,95.89977498631569,7.5280325955786545
1076.5909700393677,0.0003,410.3986989061255,231.2097080486472,32.908738446083795,7.667867353460871
1121.4524765014648,0.0003,280.7028280734147,226.4921249675231,35.13094101438097,7.365873509436942
1166.321818113327,0.0003,361.090686591032,235.7591279883657,37.05155721287819,7.152441182603845
1211.0839097499847,0.0003,293.38087827477517,353.83121806390756,54.78702991266919,7.079797225430387
1255.8698189258575,0.0003,366.35763370812697,198.4420584159224,29.74530301428145,6.829544320189726
1300.6665225028992,0.0003,420.06749225331566,204.76695205410124,31.387283150253783,7.27442080273237
1345.4826261997223,0.0003,368.9873978800678,295.084168899706,52.06847701346039,7.2443503588209746
1390.2375755310059,0.0003,681.7555673512387,650.0486110315818,90.55507034982087,7.326979700332662
1434.9863467216492,0.0003,1191.1715469888434,3762.4790763213323,247.20043541003184,7.948843672263681
1479.7172853946686,0.0003,2880.0268678314264,346.37212704439577,58.31752587579618,6.958986071625997
1524.407324552536,0.0003,449.5230678593092,302.5007853074425,54.35390267341759,6.350646784677801
1569.1854915618896,0.0003,257.8436684419114,227.2827478505966,41.82524250783738,6.52641134604754
1613.9424951076508,0.0003,596.4057862551051,429.52483240130726,75.65147712853305,6.275506088111032
1658.719561100006,0.0003,3193.595131240039,1843.4595649507762,157.20306901871018,12.719376887882019
1703.4633524417877,0.0003,507.04273877308884,406.1698129747468,67.54864206496318,5.95912450088348
1748.3556163311005,0.0003,293.0841626109973,206.68925129832377,42.10613461634156,5.822455361770019
1793.1600983142853,0.0003,206.38646833909667,157.8083423519609,29.703537317749802,5.749349305370469
1837.9617612361908,0.0003,311.1606715801635,464.74563995556537,80.0571315498109,5.721904999432401
1882.7157459259033,0.0003,1776.8153660063751,625.3151592732719,92.63939216759555,6.8320376509071705
1927.4313526153564,0.0003,529.9301556585482,328.955155786127,62.66218510524482,5.967150929997828
1972.130132675171,0.0003,508.5347573035402,264.16276849251,51.371509799835785,6.130670679341388
2016.9438529014587,0.0003,492.33523447283414,911.878317894808,114.31093921053942,6.161979120395048
2061.724381685257,0.0003,2893.5668451250144,1965.0210997884462,182.01485059215764,7.394103592281647
2106.4777040481567,0.0003,422.2658010180531,744.9297586744245,108.19220849298368,5.674579067090145
2151.298397541046,0.0003,313.1882577753675,986.0238845619142,120.14752376094745,5.546537741599542
2196.138714313507,0.0003,266.6909033325418,126.14976993462282,25.140444304836784,5.260567558413291
2241.053993701935,0.0003,488.47762168787,1428.3586698031884,150.53545108479298,5.655873148518321
2285.7378492355347,0.0003,314.34958633950936,208.44275448493443,46.8510452950836,5.270895800017768
2330.577540397644,0.0003,993.4990070391657,631.2337163871398,97.07348399557125,6.1562721641050695
2375.4834339618683,0.0003,882.887358718622,389.1132886722567,72.03687098800756,5.629033281015557
2420.330403804779,0.0003,597.3504671802069,132.15506349196227,28.23893708636047,5.214426919840283
2465.078078508377,0.0003,849.9675601590961,1293.956710766989,148.3387913017516,6.25705438580905
2509.7584331035614,0.0003,1253.0132922785747,523.7953535559392,86.49944951731688,5.435753863371634
2554.5626475811005,0.0003,235.54518450405212,371.38056097511884,73.21335869078423,4.9897746047786855
2599.2917988300323,0.0003,458.96241381702526,420.84941094350376,78.38239403985868,5.293634120444405
2644.1071326732635,0.0003,227.6677764781403,107.1771164280237,22.626379627786623,4.975371468550106
2688.9291388988495,0.0003,709.6312583714887,461.55552605161506,78.5705412457703,5.917449505325555
2733.6630260944366,0.0003,298.4899374039447,202.228296808687,45.94026049960191,5.0530392124200425
2778.45077085495,0.0003,283.2294588460731,527.1548894842889,87.8183665281648,5.178552572887053
2823.1990609169006,0.0003,1017.8697736340577,124.05026459882565,29.81003849491192,4.943977918566888
2867.9380271434784,0.0003,1809.5146280479778,2470.1866793265813,201.57926390824045,5.668840353046277
2912.6753318309784,0.0003,340.5173817785711,177.59548394140603,43.30186728702229,4.793606465440654
2957.4429199695587,0.0003,194.31626523544227,535.0589449082017,90.77401472929937,4.721295771884624
