Time,Learning rate,Train loss,Validation loss,MAE_energy,MAE_energy_grad
15.47091555595398,0.0003,1170558.5068185313,12711.127201155508,246.83516896802325,65.33461077753518
30.563013076782227,0.0003,9598.766139390464,7020.421130620334,163.15098882630815,49.372665019686714
45.64338684082031,0.0003,6125.529955190876,4988.196619875496,144.03575717659885,41.36221664486539
60.61699414253235,0.0003,4332.966549811702,3949.081017603942,134.84590684047964,36.37371343778276
75.71895384788513,0.0003,3689.484253936386,3224.026024820109,123.85024436773256,32.61072748854203
90.67954993247986,0.0003,3080.791900415565,3549.0790846295004,170.4319835574128,30.00889908057621
105.80084919929504,0.0003,2617.827998415781,2364.3214113561207,104.47717977834303,27.931238535888507
120.77190566062927,0.0003,2462.675123648556,2184.88830400726,98.19094635719476,26.222748198526038
135.7819743156433,0.0003,2565.549251587856,2505.5443975450935,142.12282907885174,24.959150881230574
150.8667938709259,0.0003,2022.4719453260093,1760.902001872446,86.93097008993459,23.592224935087927
165.81489777565002,0.0003,1748.7599843383691,1506.0602514647478,77.77424895530524,22.60570446094293
180.80483603477478,0.0003,2119.1962385327297,1802.5797930277417,110.19144553960756,21.777535996695384
195.91459584236145,0.0003,2239.8480050385583,1508.884818926011,86.2049935274346,21.011574449722648
210.85027980804443,0.0003,1683.3940888547174,1789.2304801435173,123.6314957303779,20.171192634364715
225.7939155101776,0.0003,1635.7767821421298,1476.5464645020165,105.27632744367733,19.53175604985444
240.77539587020874,0.0003,1677.412343935752,1468.7725439168828,107.88068859011628,18.961754996672436
255.87472462654114,0.0003,2055.614387189495,1058.981898919759,65.53687102561773,18.42950554949054
270.8353064060211,0.0003,1726.7042927053196,1142.6082682188417,79.91094692496367,18.054316888531545
285.7627818584442,0.0003,1612.5723823370786,1031.269982878701,69.21502725290698,17.430635312577863
300.69804215431213,0.0003,3185.1255531808297,3552.720797245778,219.37544126998546,16.881409503799652
315.7082133293152,0.0003,2155.1295342999715,2203.8503071913174,146.65688624182414,17.29648676719842
330.7849748134613,0.0003,3988.5669045332866,6539.099393366398,328.70775799418607,17.00084500439304
345.71186208724976,0.0003,2926.436614819745,19484.679695298975,594.4614353197675,16.05495602043091
360.63872385025024,0.0003,5709.729778739359,3749.073130908013,241.5471121002907,15.6028340533492
375.587598323822,0.0003,7041.4304609042465,4841.831459926937,257.441746002907,15.031416147656936
390.6387927532196,0.0003,3257.213162855761,7732.021393659071,356.27974200581394,14.186625080320495
405.6606476306915,0.0003,36244.625205886085,5244.82705712128,222.14834574854652,15.683845366245066
420.5911605358124,0.0003,1790.6618200303647,963.9004729692751,99.03870571402616,12.295996853157742
435.5369098186493,0.0003,880.2475265092944,1341.342645119362,116.27550463299418,12.327262809684685
450.5308520793915,0.0003,1038.0705493664163,2831.906549626694,204.96079714752906,12.3816032360144
465.6157922744751,0.0003,1008.736970301225,1595.0490168635965,138.62762059411338,11.82932884696241
480.55199337005615,0.0003,2438.210376898828,2958.8673180368123,208.69591274527616,11.962982842456267
495.48300337791443,0.0003,1504.5468610767102,632.9878902230454,67.23321470748546,11.960822564342454
510.4470205307007,0.0003,3863.4415140154515,10646.695190444094,439.0264734738372,11.965906792778041
525.4787707328796,0.0003,1619.6125151118435,1639.7726050048645,143.8871223201308,11.294791738381395
540.5266847610474,0.0003,3034.6167455918294,2597.76872602487,173.39193359375,12.990651793134564
555.4630405902863,0.0003,7680.595899528631,6666.109627419834,326.7351866824128,12.433593865255812
570.3990457057953,0.0003,4376.281537250053,630.8088930549383,69.15197072583575,10.487238517857376
585.3765878677368,0.0003,674.0574118534787,484.62417928136733,54.70591070130814,10.24355963325498
600.497608423233,0.0003,3035.1466491488136,5368.652479223603,305.9215297965116,10.106536812808988
615.443353176117,0.0003,2132.048338008961,705.3193324732224,73.07528184047965,10.341398819841949
630.379780292511,0.0003,1710.2240649784267,886.3079817092195,89.52647926507994,9.998553488327302
645.3093948364258,0.0003,742.9285066101772,754.9896952407245,80.38014841478925,9.939471668379625
660.3268444538116,0.0003,2283.333266306697,110482.88345777888,1383.4931976744185,10.987644320767274
675.4099426269531,0.0003,6232.885845974869,489.1600572776727,56.75828465661337,9.652341111922512
690.3523671627045,0.0003,1621.918043148267,1829.4293926083988,144.6720707667151,11.669148700590602
705.2842772006989,0.0003,1654.449184814518,3773.326430989276,219.63651571584302,9.74819217416106
720.2439153194427,0.0003,1404.4140428206679,424.18842467157185,47.04531550917515,9.548827228565901
735.3218376636505,0.0003,2037.2636749519252,1419.584399747344,138.47431595203489,9.187469790170903
