 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
55:13 |     1 |     3.000e-04 | 983950.8887 |       4900.0074 |   152.4354 |         36.5971 |            3040
55:58 |     2 |     3.000e-04 |  3432.9554 |       2378.4311 |   107.3977 |         25.3238 |            3040
56:43 |     3 |     3.000e-04 |  1976.7766 |       1599.1776 |    88.1114 |         20.1728 |            3040
57:28 |     4 |     3.000e-04 |  1424.6383 |       1299.0436 |    85.4406 |         17.3255 |            3040
58:13 |     5 |     3.000e-04 |  1138.3739 |        975.8368 |    73.5163 |         15.5936 |            3096
58:58 |     6 |     3.000e-04 |   973.8769 |        913.0710 |    72.5881 |         14.3970 |            3096
59:43 |     7 |     3.000e-04 |   831.5897 |        751.7243 |    63.1230 |         13.5194 |            3096
00:27 |     8 |     3.000e-04 |   754.7612 |        684.3650 |    60.5655 |         12.8914 |            3096
01:12 |     9 |     3.000e-04 |   682.0733 |        634.3282 |    59.5200 |         12.3189 |            3096
01:57 |    10 |     3.000e-04 |   621.0437 |        589.1460 |    59.2497 |         11.8650 |            3096
02:42 |    11 |     3.000e-04 |   578.0087 |        543.5695 |    55.7574 |         11.4634 |            3096
03:27 |    12 |     3.000e-04 |   556.5111 |        517.4717 |    54.3433 |         11.0444 |            3096
04:12 |    13 |     3.000e-04 |   515.9548 |        492.7275 |    53.5955 |         10.7403 |            3096
04:57 |    14 |     3.000e-04 |   494.4336 |        460.0213 |    50.8217 |         10.4479 |            3096
05:43 |    15 |     3.000e-04 |   457.5031 |        436.8040 |    50.2440 |         10.0956 |            3125
06:28 |    16 |     3.000e-04 |   444.8998 |        421.2217 |    49.6615 |          9.9240 |            3125
07:14 |    17 |     3.000e-04 |   416.1130 |        407.5560 |    49.4905 |          9.5850 |            3125
07:59 |    18 |     3.000e-04 |   413.9516 |        383.4341 |    47.6723 |          9.3746 |            3125
08:44 |    19 |     3.000e-04 |   384.8313 |        366.5437 |    46.1436 |          9.1289 |            3125
09:29 |    20 |     3.000e-04 |   425.0921 |        369.2018 |    46.7234 |          8.9628 |            3125
10:14 |    21 |     3.000e-04 |   350.4752 |        337.6942 |    44.3052 |          8.7593 |            3125
10:59 |    22 |     3.000e-04 |   370.7617 |        333.5544 |    44.4801 |          8.6142 |            3125
11:44 |    23 |     3.000e-04 |   337.9263 |        324.6100 |    44.3176 |          8.4648 |            3125
12:29 |    24 |     3.000e-04 |   336.7357 |        334.6085 |    47.3646 |          8.2910 |            3125
13:14 |    25 |     3.000e-04 |   328.0444 |        291.4783 |    40.4869 |          8.1556 |            3125
13:58 |    26 |     3.000e-04 |   328.2815 |        298.6956 |    41.9868 |          8.0394 |            3125
14:43 |    27 |     3.000e-04 |   315.2771 |        276.6604 |    39.8790 |          7.9127 |            3125
15:28 |    28 |     3.000e-04 |   276.0244 |        267.0131 |    38.4509 |          7.7627 |            3125
16:13 |    29 |     3.000e-04 |   279.5739 |        259.9555 |    38.4830 |          7.6226 |            3125
16:58 |    30 |     3.000e-04 |   262.4460 |        256.6990 |    38.8390 |          7.5066 |            3151
17:43 |    31 |     3.000e-04 |   276.0867 |        249.6085 |    39.5350 |          7.3641 |            3151
18:28 |    32 |     3.000e-04 |   263.8276 |        256.2787 |    40.7560 |          7.3032 |            3151
19:13 |    33 |     3.000e-04 |   259.9547 |        299.8014 |    51.4057 |          7.1560 |            3151
19:58 |    34 |     3.000e-04 |   271.4866 |        292.6631 |    47.5836 |          7.2608 |            3151
20:43 |    35 |     3.000e-04 |   246.5856 |        285.4392 |    46.7688 |          7.0632 |            3151
21:28 |    36 |     3.000e-04 |   263.7619 |        306.8599 |    54.1478 |          6.9424 |            3151
22:13 |    37 |     3.000e-04 |   272.2601 |        234.2667 |    41.3372 |          6.7590 |            3151
22:58 |    38 |     3.000e-04 |   244.3919 |        200.2982 |    32.5433 |          6.7973 |            3151
23:43 |    39 |     3.000e-04 |   225.0437 |        197.2053 |    34.4646 |          6.6205 |            3151
24:28 |    40 |     3.000e-04 |   236.1469 |        806.0125 |   110.3505 |          6.7075 |            3151
25:13 |    41 |     3.000e-04 |   316.8012 |        212.3492 |    38.5872 |          6.5702 |            3151
25:58 |    42 |     3.000e-04 |   239.4200 |        224.0902 |    41.7198 |          6.4536 |            3151
26:43 |    43 |     3.000e-04 |   194.8358 |        186.0108 |    34.6843 |          6.2683 |            3151
27:28 |    44 |     3.000e-04 |   236.8755 |        225.7548 |    39.0838 |          6.3367 |            3151
